iter	Passed	Remaining
483	698	744
484	700	743
485	701	741
486	702	740
487	704	739
488	706	738
489	707	736
490	709	735
491	711	734
492	712	732
493	714	731
494	716	730
495	717	729
496	719	728
497	721	727
498	722	725
499	724	724
500	725	723
501	727	721
502	728	720
503	730	718
504	732	717
505	733	716
506	735	715
507	737	714
508	739	713
509	740	711
510	742	710
511	743	708
512	745	707
513	747	706
514	748	704
515	750	703
516	751	702
517	753	700
518	754	699
519	756	698
520	757	696
521	759	695
522	761	694
523	762	692
524	764	691
525	765	690
526	766	688
527	768	686
528	770	685
529	771	684
530	773	683
531	774	681
532	775	679
533	777	678
534	779	677
535	780	675
536	782	674
537	784	673
538	785	672
539	787	670
540	788	669
541	790	668
542	792	666
543	793	665
544	795	664
545	797	663
546	798	661
547	800	660
548	802	659
549	803	657
550	805	656
551	807	655
552	808	653
553	810	652
554	811	650
555	813	649
556	815	648
557	816	647
558	818	645
559	820	644
560	822	643
561	823	642
562	825	640
563	827	639
564	829	638
565	830	636
566	831	635
567	832	633
568	833	631
569	835	630
570	837	628
571	838	627
572	840	626
573	841	624
574	843	623
575	845	622
576	846	620
577	848	619
578	849	618
579	851	616
580	853	615
581	855	614
582	856	612
583	858	611
584	860	610
585	861	608
586	862	607
587	864	605
588	866	604
589	867	602
590	868	601
591	870	600
592	872	598
593	873	597
594	875	595
595	877	594
596	878	593
597	880	591
598	881	590
599	883	588
600	885	587
601	886	586
602	888	584
603	890	583
604	891	582
605	893	580
606	894	579
607	896	578
608	898	576
609	899	575
610	901	573
611	902	572
612	904	570
613	905	569
614	907	568
615	909	566
616	911	565
617	912	564
618	914	562
619	916	561
620	917	560
621	919	558
622	921	557
623	923	556
624	924	554
625	926	553
626	928	552
627	930	550
628	931	549
629	933	548
630	935	546
631	937	545
632	938	544
633	940	542
634	942	541
635	944	540
636	945	539
637	947	537
638	949	536
639	950	534
640	952	533
641	954	532
642	955	530
643	957	529
644	959	527
645	960	526
646	962	525
647	963	523
648	965	521
649	966	520
650	968	519
651	969	517
652	971	516
653	972	514
654	974	513
655	976	511
656	977	510
657	979	509
658	981	507
659	982	506
660	984	504
661	985	503
662	987	501
663	988	500
664	990	498
665	991	497
666	993	495
667	994	494
668	996	492
669	998	491
670	998	489
671	1000	488
672	1002	486
673	1004	485
674	1005	484
675	1006	482
676	1008	481
677	1010	479
678	1011	478
679	1013	476
680	1014	475
681	1016	474
682	1018	472
683	1019	471
684	1021	469
685	1022	468
686	1024	466
687	1025	465
688	1027	463
689	1029	462
690	1030	460
691	1032	459
692	1034	458
693	1035	456
694	1037	455
695	1038	453
696	1039	452
697	1041	450
698	1043	449
699	1044	447
700	1046	446
701	1047	444
702	1049	443
703	1050	441
704	1052	440
705	1054	439
706	1055	437
707	1057	436
708	1059	434
709	1060	433
710	1062	431
711	1063	430
712	1065	428
713	1066	427
714	1068	425
715	1069	424
716	1071	422
717	1072	421
718	1074	419
719	1076	418
720	1077	416
721	1079	415
722	1080	414
723	1082	412
724	1083	410
725	1084	409
726	1086	407
727	1087	406
728	1089	404
729	1090	403
730	1092	402
731	1094	400
732	1096	399
733	1097	397
734	1099	396
735	1101	394
736	1102	393
737	1104	391
738	1105	390
739	1107	389
740	1108	387
741	1110	386
742	1112	384
743	1114	383
744	1115	381
745	1117	380
746	1118	378
747	1120	377
748	1122	376
749	1124	374
750	1126	373
751	1127	371
752	1129	370
753	1130	368
754	1132	367
755	1134	366
756	1135	364
757	1137	363
758	1139	361
759	1141	360
760	1142	358
761	1144	357
762	1145	355
763	1147	354
764	1148	352
765	1150	351
766	1151	349
767	1153	348
768	1155	346
769	1156	345
770	1158	344
771	1160	342
772	1161	341
773	1163	339
774	1164	338
775	1166	336
776	1168	335
777	1170	333
778	1171	332
779	1173	330
780	1175	329
781	1176	328
782	1178	326
783	1180	325
784	1181	323
785	1183	322
786	1184	320
787	1185	319
788	1187	317
789	1189	316
790	1190	314
791	1192	313
792	1194	311
793	1195	310
794	1197	308
795	1199	307
796	1200	305
797	1202	304
798	1204	302
799	1205	301
800	1207	300
801	1209	298
802	1210	297
803	1212	295
804	1214	294
805	1216	292
806	1217	291
807	1219	289
808	1220	288
809	1222	286
810	1224	285
811	1225	283
